time_s,linear_mps,angular_radps
53.624791384,0.29489887840378415,-0.02350189576918188
53.67471242,0.2941478933632617,-0.015771703369394485
53.724828005,0.29100539572546436,-0.0035499316541454107
53.774785281,0.2901565997429968,0.01491082302925062
53.824882031,0.2814420517256631,-0.04508917697074938
53.875304461,0.28070812018643443,-0.03618636273453646
53.924989462,0.2799605255035824,-0.019357612589502082
53.974888325,0.27490302918474746,-0.009362283185817555
54.024691582,0.27494566703741524,0.05063771681418244
54.074651718,0.27414382281008043,0.11063771681418244
54.125045777,0.26119660880876766,0.17063771681418244
54.191994191,0.260517580967556,0.23063771681418244
54.224713803,0.25830515908670254,0.29063771681418243
54.275290013,0.24458399484171242,0.35063771681418243
54.324965,0.2440175752712421,0.2915894379458363
54.375427485,0.24127526467753124,0.29605842687202627
54.42663002,0.23915389781153715,0.35107061841441733
54.475077868,0.2388052459853848,0.3601048974536276
54.524869681,0.22574892230517576,0.35965216223083807
54.574698687,0.22543061760359198,0.3690326399937428
54.625151635,0.2093815240027442,0.4290326399937428
54.674721718,0.20904812344330467,0.4890326399937428
54.72466445,0.2086884775350334,0.5490326399937429
54.774836779,0.2055699556057969,0.6090326399937429
54.82499981,0.1974347078620696,0.669032639993743
54.874860525,0.1886852050661361,0.729032639993743
54.924683571,0.18853850284351256,0.7890326399937431
54.974748135,0.18854332207410576,0.8490326399937431
55.025039912,0.17375146086781715,0.9090326399937432
55.074747801,0.17463466183888254,0.9690326399937432
55.124670983,0.17585398357341955,1.0290326399937433
55.186013222,0.18199997946637428,1.0890326399937433
55.224639893,0.18347690053414267,1.1490326399937434
55.274800063,0.18502192156111677,1.099238692122138
55.324849606,0.17924260250737248,1.159238692122138
55.374881983,0.18082269413485155,1.219238692122138
55.424901724,0.18691567387349595,1.2047304108139847
55.47471571,0.1887385976707289,1.1457120372343845
55.525009394,0.1958056984092639,1.0857120372343845
55.574919701,0.18987552506673774,1.1457120372343845
55.625170946,0.19177660376051053,1.2057120372343846
55.675350666,0.19659385123619524,1.1497494585547532
55.724784136,0.19860085835202787,1.0897494585547531
55.774911404,0.20619201541019605,1.029749458554753
55.824717999,0.20158865873778434,0.969749458554753
55.874808312,0.20365350824490439,0.909749458554753
55.92680955,0.2096301680212186,0.969749458554753
55.975203753,0.2116888515692917,0.977061432207705
56.024651051,0.21377464202578322,0.9170614322077051
56.075293303,0.21467921596455963,0.857061432207705
56.125253916,0.21692832406399512,0.797061432207705
56.183124543,0.2227543679286702,0.857061432207705
56.225124359,0.22368851373945461,0.8877815909497996
56.275027991,0.2245845637420136,0.8622708213585054
56.325004816,0.21885175735225684,0.9222708213585054
56.374667406,0.21986379044061635,0.9822708213585054
56.42491293,0.22370161301441263,0.9680238633787733
56.474776507,0.22597939237208206,0.9080238633787734
56.524719,0.2287466509467592,0.8480238633787733
56.574814082,0.2281996683599065,0.9080238633787734
56.624890089,0.22963851111477165,0.9680238633787734
56.675266028,0.23487596778370237,1.0280238633787735
56.724643469,0.2280636216724449,1.0880238633787735
56.774714232,0.22958167223142326,1.0764028234164096
56.824811459,0.23516404446175868,1.0356476269647188
56.874690056,0.23796373304245866,0.9756476269647187
56.924652338,0.24130286995254535,0.9156476269647187
56.974988699,0.24589400223123,0.8556476269647186
57.024679184,0.2478535768952335,0.9156476269647187
57.074665308,0.24973995504065138,0.9113312213596845
57.125117541,0.25925121983956406,0.8721096177191763
57.180079222,0.25522600768590625,0.8121096177191762
57.225500346,0.2621447532847694,0.7521096177191762
57.274685383,0.2642267705689324,0.6921096177191761
57.324702978,0.26635580898765665,0.6321096177191761
57.374997139,0.27133582584220506,0.690083391683552
57.424722433,0.2733017831386542,0.6467953816357551
57.47553587,0.2803593702075635,0.6097122173824878
57.524687052,0.2824448107776905,0.5644728357371903
57.574757099,0.2805346919800959,0.6059106837462069
57.625469447,0.2480346919800959,0.5459106837462069
57.67468524,0.21932592556719135,0.4859106837462069
57.724615574,0.22095731439290553,0.4259106837462069
57.775781393,0.2261148268452673,0.39954044471151484
57.824758768,0.22777920290501266,0.3508640632399963
57.874955178,0.22938875288001556,0.30379112673506914
57.924847126,0.2367011224861125,0.36379112673506914
57.974698067,0.2364527098378295,0.30379112673506914
58.02494216,0.24155508140513782,0.36379112673506914
58.07463336,0.24316547169093047,0.42379112673506913
58.124665499,0.244812160654254,0.3833803007293569
58.182251454,0.212312160654254,0.3577167088362041
58.224664927,0.179812160654254,0.3031837959931125
58.275043011,0.1699884673574822,0.24875696895574428
58.324833155,0.1756751016807643,0.19299273182079113
58.374689341,0.17631859125258656,0.16712035519094537
58.424665928,0.17764023869175047,0.11398171578598049
58.474954605,0.183066229816221,0.06257072528923296
58.524668932,0.1843665765231044,0.12257072528923296
58.574654818,0.18559464433627257,0.18257072528923296
